timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653695772470,12,获取交易信息,200,OK,资金系统 2-926,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,12,0,0
1653695772482,12,获取账户余额,200,OK,资金系统 2-926,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,12,0,0
1653695772508,29,个人开户,200,OK,开户相关 1-930,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,29,0,0
1653695772537,19,资金账户开户,200,OK,开户相关 1-930,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,19,0,0
1653695772557,17,法人证券账户开户,200,OK,开户相关 1-930,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,17,0,0
1653695772569,39,资金转账,200,OK,资金系统 2-927,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,39,0,0
1653695772608,15,获取交易信息,200,OK,资金系统 2-927,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,15,0,0
1653695772623,14,获取账户余额,200,OK,资金系统 2-927,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,14,0,0
1653695772646,26,个人开户,200,OK,开户相关 1-931,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,26,0,0
1653695772672,20,资金账户开户,200,OK,开户相关 1-931,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,20,0,0
1653695772692,18,法人证券账户开户,200,OK,开户相关 1-931,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,18,0,0
1653695772706,45,资金转账,200,OK,资金系统 2-928,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,45,0,0
1653695772751,14,获取交易信息,200,OK,资金系统 2-928,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,14,0,0
1653695772765,15,获取账户余额,200,OK,资金系统 2-928,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,15,0,0
1653695772781,29,个人开户,200,OK,开户相关 1-932,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,29,0,0
1653695772811,19,资金账户开户,200,OK,开户相关 1-932,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,19,0,0
1653695772830,22,法人证券账户开户,200,OK,开户相关 1-932,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,22,0,0
1653695772840,32,资金转账,200,OK,资金系统 2-929,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,32,0,0
1653695772872,10,获取交易信息,200,OK,资金系统 2-929,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,10,0,0
1653695772882,11,获取账户余额,200,OK,资金系统 2-929,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,11,0,0
1653695772914,33,个人开户,200,OK,开户相关 1-933,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,33,0,0
1653695772952,18,资金账户开户,200,OK,开户相关 1-933,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,18,0,0
1653695772970,22,法人证券账户开户,200,OK,开户相关 1-933,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,22,0,0
